pm10,date,temperature_2m,relativehumidity_2m,windspeed_10m
12.0,2023-03-10 03:00:00,4.668407310704956,77.81462140992167,9.1639686684073
5.0,2023-03-08 16:00:00,12.1,60.0,23.0
13.0,2023-03-13 04:00:00,4.668407310704956,77.81462140992167,9.1639686684073
4.0,2023-03-14 16:00:00,4.668407310704956,77.81462140992167,9.1639686684073
6.0,2023-02-26 08:00:00,1.4,73.0,13.9
7.0,2023-03-12 12:00:00,4.668407310704956,77.81462140992167,9.1639686684073
27.0,2023-03-06 03:00:00,0.9,96.0,3.9
31.0,2023-02-23 05:00:00,0.7,94.0,3.6
51.0,2023-03-06 23:00:00,2.6,99.0,9.2
2.0,2023-03-09 14:00:00,16.0,50.0,13.0
6.0,2023-03-14 18:00:00,4.668407310704956,77.81462140992167,9.1639686684073
22.0,2023-03-03 00:00:00,1.1,94.0,2.5
20.0,2023-03-10 21:00:00,4.668407310704956,77.81462140992167,9.1639686684073
29.0,2023-03-01 11:00:00,2.6,77.0,10.5
8.0,2023-03-10 11:00:00,4.668407310704956,77.81462140992167,9.1639686684073
29.0,2023-02-22 11:00:00,12.5,64.0,6.6
33.0,2023-03-12 22:00:00,4.668407310704956,77.81462140992167,9.1639686684073
26.0,2023-02-24 22:00:00,6.5,84.0,15.3
17.0,2023-03-09 22:00:00,7.9,89.0,10.6
20.0,2023-02-28 10:00:00,1.9,65.0,6.1
6.0,2023-02-25 19:00:00,4.2,98.0,4.9
14.0,2023-03-15 22:00:00,4.668407310704956,77.81462140992167,9.1639686684073
7.0,2023-03-12 00:00:00,4.668407310704956,77.81462140992167,9.1639686684073
6.0,2023-03-12 06:00:00,4.668407310704956,77.81462140992167,9.1639686684073
56.0,2023-02-22 21:00:00,5.8,88.0,5.6
19.0,2023-02-27 21:00:00,-0.0,71.0,8.2
32.0,2023-02-24 15:00:00,12.2,56.0,21.9
28.0,2023-03-08 11:00:00,11.4,59.0,13.0
10.0,2023-03-11 22:00:00,4.668407310704956,77.81462140992167,9.1639686684073
16.0,2023-03-14 20:00:00,4.668407310704956,77.81462140992167,9.1639686684073
18.0,2023-02-22 03:00:00,3.6,83.0,4.0
22.0,2023-03-05 01:00:00,1.6,82.0,2.4
11.0,2023-02-25 12:00:00,9.2,66.0,8.9
42.0,2023-02-23 17:00:00,7.8,91.0,5.3
28.0,2023-03-02 20:00:00,4.3,81.0,5.2
21.0,2023-03-05 05:00:00,0.2,91.0,4.7
14.0,2023-03-10 06:00:00,4.668407310704956,77.81462140992167,9.1639686684073
4.0,2023-03-08 19:00:00,9.2,73.0,20.9
